Source, Statistic, mean, standard deviation, number of connections, z, p
ZBTB5, EndodUP sources,1.464,1.220124584,4,2.078476275,0.981167243
ZNF519, HepDown sources,0.157,0.407861496,1,2.066878114,0.98062718
JUN, HepEven targets,5.908,2.463642831,11,2.066858043,0.980626234
FOSL2, HepEven targets,5.281,2.289549956,10,2.06110375,0.980353428
ZBTB7C,  sources,11.836,3.01381884,18,2.045245692,0.979584679
CREM, HepUp sources,3.974,1.970107611,8,2.043543194,0.979500652
ZFHX3, ESCUp targets,0.539,0.724209224,2,2.017372814,0.978171689
CREM, ESCDown sources,3.4,1.802220852,7,1.997535427,0.977116475
SOX6, ESCUp sources,1.011,0.998438281,3,1.992111119,0.976820566
JUN,  sources,10.268,2.880308317,16,1.990064732,0.976708097
HMBOX1,  sources,9.573,2.734350197,15,1.984749432,0.976413822
CREB3L2, ESCDown sources,1.6,1.214907404,4,1.975459193,0.975891969
NANOG, ESCUp targets,1.526,1.255119118,4,1.971127652,0.975645362
MYCL1, HepDown sources,0.174,0.419194466,1,1.970445862,0.975606353
JUND, HepEven targets,5.427,2.322212523,10,1.969242675,0.975537385
HLA-DQB1,  sources,3.001,1.546932125,6,1.938675881,0.973729591
LHX1, HepDown sources,0.187,0.421937199,1,1.926827029,0.972999405
MBNL3, ESCUp sources,1.028,1.025288252,3,1.923361548,0.97278267
TIGD2, HepEven sources,0.549,0.756041666,2,1.919206396,0.972520891
DEPDC1, EndodUP sources,0.573,0.744762378,2,1.916047375,0.972320467
PSMD11, HepUp sources,1.07,1.008513758,3,1.91370716,0.972171208
ZC3H15, EndodUP sources,1.072,1.011343661,3,1.906374732,0.971699198
ZNF132, HepDown sources,0.178,0.431643371,1,1.904349875,0.971567684
YEATS2, HepDown sources,0.192,0.425600752,1,1.898492887,0.971184408
E2F3, ESCDown sources,3.412,1.891099151,7,1.897309296,0.971106436
SP5, HepEven sources,1.122,0.991522062,3,1.894057703,0.970891324
ZFP112, ESCUp sources,0.576,0.752478571,2,1.892412694,0.970781992
ZBTB7C, ESCDown sources,2.236,1.463661163,5,1.888415208,0.970514884
MLLT1, HepDown sources,0.185,0.432174733,1,1.885811311,0.970339807
ZNF776, ESCUp sources,0.588,0.749837316,2,1.883075129,0.970154906
NEUROD2, HepDown sources,0.194,0.429376292,1,1.877141368,0.96975064
CBFB, ESCUp targets,2.217,1.483209695,5,1.876336171,0.969695433
RBPJ, HepUp sources,1.639,1.260428102,4,1.873173088,0.969477756
ZNF576, HepUp sources,1.629,1.266238129,4,1.872475599,0.969429583
SOX4,  sources,5.864,2.220248635,10,1.862854428,0.968758625
FOXC1, ESCUp targets,1.094,1.024287069,3,1.860806465,0.968614244
FOXJ2, HepDown sources,0.192,0.434897689,1,1.85790824,0.968408977
GRHL2, ESCDown sources,1.65,1.265503852,4,1.856967876,0.968342138
ZIC3, ESCUp sources,0.598,0.757889174,2,1.849874689,0.967834194
PPARA, HepDown sources,0.198,0.434506617,1,1.845771662,0.967537317
RUNX1, ESCUp targets,2.218,1.515412815,5,1.835803401,0.966806631
ZNF512,  sources,8.326,2.554158178,13,1.829957142,0.966371826
TRIM32, HepDown sources,0.196,0.439981818,1,1.827348239,0.966176287
HMGA1, ESCUp sources,1.741,1.248166255,4,1.80985505,0.964840866
EOMES, HepEven sources,1.699,1.272948938,4,1.807613747,0.964666681
ZSCAN16, EndodUP sources,0.604,0.77793573,2,1.794492715,0.96363272
FOXP4, ESCDown sources,1.761,1.253745987,4,1.785848189,0.962938079
ZFR2, HepDown sources,0.205,0.446066139,1,1.782246916,0.962645512
HOXB4, EndodUP sources,1.186,1.037980732,3,1.747623963,0.959735418
NFXL1, HepDown sources,0.207,0.454038545,1,1.746547753,0.959642092
PBX1, HepDown targets,0.642,0.778354675,2,1.744705908,0.959481963
TGIF1, ESCDown sources,4.464,2.034380495,8,1.738121265,0.958905276
FOSL2, HepDown targets,2.421,1.489214222,5,1.731785771,0.958344144
ZNF266, ESCDown sources,0.65,0.781984655,2,1.726376588,0.957860158
BNC1, HepDown sources,0.216,0.455350415,1,1.721750931,0.957442677
HNF1B, ESCUp targets,5.195,2.214266244,9,1.718402207,0.957138361
PRDM14,  sources,8.497,2.629827181,13,1.712279816,0.956577443
ZNF512, HepUp sources,1.787,1.297548072,4,1.705524479,0.955951675
HOXB2, ESCUp sources,0.648,0.793785865,2,1.703230127,0.955737495
ZNF746, ESCUp sources,0.655,0.791185819,2,1.699979914,0.955432648
ZNF263, EndodUP sources,1.187,1.068658505,3,1.696519507,0.95510623
ZNF165, ESCDown sources,0.646,0.799177077,2,1.69424279,0.954890422
SMAD3, EndoDown sources,0.216,0.466201673,1,1.681675646,0.953684124
KLF15, ESCUp sources,0.649,0.804859615,2,1.678553595,0.953380461
TGIF1, HepDown sources,0.676,0.794370191,2,1.666729209,0.952215869
RBPJ,  sources,7.883,2.473319834,12,1.664564341,0.952000148
JUND, HepDown targets,2.428,1.55525432,5,1.653748822,0.950910721
ZIC5, HepUp sources,1.196,1.09616787,3,1.64573333,0.950090663
SSH2, HepDown sources,0.225,0.475788819,1,1.628873924,0.948330144
JDP2, ESCDown sources,2.485,1.55363284,5,1.618786586,0.947253405
ZBTB7C, EndodUP sources,1.833,1.339070947,4,1.618286175,0.947199531
TGIF1, EndoDown sources,0.233,0.474036918,1,1.618017438,0.94717058
TCF19, ESCUp sources,0.696,0.805967741,2,1.61793076,0.94716124
ARID5B, ESCDown sources,2.485,1.557489968,5,1.614777656,0.946820573
NR2F2, EndodUP sources,2.527,1.534037483,5,1.612085772,0.946528362
NR2F2, HepEven sources,4.585,2.119144875,8,1.611499072,0.946464505
NKX3-2, ESCUp sources,0.68,0.81951205,2,1.610714571,0.946379026
ZNF394, EndodUP sources,0.686,0.816947979,2,1.608425547,0.946128995
TSHZ1, HepUp sources,1.217,1.109013526,3,1.607735126,0.946053399
PRDM1, ESCUp sources,1.84,1.344023809,4,1.607114387,0.945985361
DMAP1, HepDown sources,0.236,0.477811678,1,1.598956314,0.945084845
KLF5, ESCUp sources,0.669,0.835128134,2,1.593767406,0.94450593
RUNX1, EndoDown sources,0.231,0.483362183,1,1.590939521,0.944188406
MEF2C,  targets,10.374,2.908285406,15,1.590627932,0.944153333
FOXO4,  targets,12.99,3.150857026,18,1.590043584,0.944087509
NFYB, EndoDown targets,2.489,1.586152263,5,1.583076265,0.943297959
FOXD3, ESCDown sources,1.902,1.327552635,4,1.580351652,0.942986821
RBPJ, HepDown sources,0.231,0.487482307,1,1.577493149,0.942658951
FOXD3,  targets,22.323,4.236587188,29,1.576032713,0.942490868
NFYB,  targets,70.316,7.436272184,82,1.571217367,0.941933916
ZNF423, ESCDown sources,2.552,1.558619902,5,1.570620262,0.94186456
FOXK2, HepUp sources,1.289,1.0897151,3,1.570135166,0.941808166
ZNF253, ESCUp sources,0.232,0.490077545,1,1.567098938,0.941454216
FOXP4,  sources,9.681,2.77294771,14,1.557548303,0.940329819
SEMA4A, ESCUp sources,1.254,1.122267348,3,1.555779025,0.940119676
FOXA1, ESCDown sources,1.278,1.111177754,3,1.549707051,0.939394078
SEMA4A,  sources,10.465,2.946654883,15,1.539033304,0.938101917
BRD9, ESCUp sources,1.3,1.105441088,3,1.537847668,0.937957067
SIX4,  sources,6.586,2.220496341,10,1.53749409,0.937913819
PPARA, HepUp targets,14.244,3.757986695,20,1.531671202,0.937198204
LEF1, HepDown targets,1.267,1.134773546,3,1.527176948,0.936641492
GABPA, HepDown sources,0.25,0.491426495,1,1.526169239,0.936516139
TEAD3, HepDown sources,0.245,0.494949492,1,1.525408171,0.936421339
HOXB4, HepDown sources,0.239,0.499878985,1,1.522368458,0.936041608
TIGD2,  sources,1.987,1.323945241,4,1.520455634,0.935801749
FOXD3, EndodUP targets,3.327,1.760701849,6,1.518144598,0.935511025
MINK1, HepDown sources,0.242,0.499435682,1,1.517712947,0.935456611
EOMES, ESCUp sources,0.714,0.851001763,2,1.511160207,0.934626181
HepUp, HepUp sources,92.525,8.953846939,106,1.504939731,0.933830214
HepUp, HepUp targets,92.525,8.953846939,106,1.504939731,0.933830214
NFIB, EndodUP targets,3.344,1.768520285,6,1.501820489,0.933428262
ZNF337, HepEven sources,1.349,1.10326742,3,1.496464021,0.932733612
HESX1, EndodUP sources,0.742,0.843466656,2,1.491463819,0.932080118
ZNF589, HepEven sources,1.32,1.138244262,3,1.475957364,0.930022331
JUN,  targets,30.555,5.079662883,38,1.465648444,0.928627957
PPARD, HepUp sources,1.351,1.125965808,3,1.464520493,0.928474106
ETV5, HepEven sources,3.394,1.782908859,6,1.461656319,0.928082294
MAFG, HepUp sources,4.143,1.956157202,7,1.460516566,0.927925921
SOX4, ESCUp sources,0.737,0.868234415,2,1.454676269,0.927120547
MBNL1,  sources,9.13,2.663662892,13,1.452886554,0.926872373
SMAD3, EndodUP targets,4.779,2.220396136,8,1.450642049,0.92656022
ATF1, HepUp sources,2.009,1.372923523,4,1.450190026,0.926497232
GATA4, HepUp sources,1.348,1.142320445,3,1.446179141,0.925936519
PRDM1, HepUp sources,3.391,1.807240714,6,1.443637242,0.925579478
CREB3L2,  sources,8.297,2.565305245,12,1.443492936,0.92555917
HAND1, ESCUp targets,3.393,1.80736023,6,1.442435192,0.925410179
ZNF234, EndodUP sources,0.768,0.856840709,2,1.437840181,0.924760297
CBX2, EndodUP sources,0.767,0.860645688,2,1.4326453,0.924020386
CREM, ESCDown targets,4.908,2.160910919,8,1.430878049,0.923767415
ZZZ3, EndodUP sources,1.345,1.158436446,3,1.428649802,0.923447544
GATA3, ESCUp targets,2.674,1.628411496,5,1.428385888,0.923409591
USF1, HepEven sources,1.41,1.114405671,3,1.42676948,0.923176824
HNF4A, HepUp sources,3.45,1.792065847,6,1.422938786,0.922623049
EPAS1, EndodUP sources,2.006,1.401414999,4,1.422847623,0.922609834
BCL6, HepUp sources,2.74,1.589465319,5,1.421861788,0.922466811
ATF1, EndodUP sources,1.376,1.142201383,3,1.421815823,0.922460138
TGIF1,  sources,23.117,4.146481762,29,1.418793169,0.922020338
PLXNA2, HepDown sources,0.263,0.521374146,1,1.413572203,0.921256226
HMGA1,  sources,14.144,3.43646097,19,1.413081668,0.921184144
HepDown, HepUp sources,38.707,5.871043434,47,1.412525745,0.921102392
HepUp, HepDown targets,38.707,5.871043434,47,1.412525745,0.921102392
USF1, HepEven targets,10.536,3.169022562,15,1.408636232,0.92052862
SNAI1, ESCUp sources,0.766,0.877065562,2,1.406964375,0.920281024
FOXP4, EndodUP sources,1.435,1.118827511,3,1.398785768,0.919061382
LARP7, ESCDown sources,1.342,1.187870363,3,1.395775205,0.9186089
ZNF576, ESCDown sources,1.376,1.163883156,3,1.395329069,0.918541685
ZNF267, ESCUp sources,0.762,0.891827338,2,1.38816108,0.917456
STAT6,  sources,15.222,3.450031304,20,1.38491497,0.916960765
EndoDown, ESCUp sources,8.94,2.934348309,13,1.383612159,0.916761378
ESCUp, EndoDown targets,8.94,2.934348309,13,1.383612159,0.916761378
GATA6, HepEven sources,1.423,1.148943428,3,1.372565404,0.915056253
ZNF503, EndodUP sources,1.395,1.170886416,3,1.370756358,0.91477454
ID2, HepUp sources,1.447,1.133662648,3,1.369896064,0.914640326
WDHD1, ESCUp sources,0.784,0.890698602,2,1.36522051,0.913908123
CEBPB, HepDown targets,2.069,1.416417664,4,1.363298445,0.913605764
HOXB5, ESCDown sources,0.842,0.850315236,2,1.361847879,0.913377051
CREB3L2, HepDown sources,0.276,0.532751349,1,1.35898295,0.912924004
NCOA2, HepUp sources,1.404,1.177617935,3,1.355278272,0.912335543
SMAD9, EndodUP sources,0.81,0.878578397,2,1.354460801,0.912205294
ZSCAN16, ESCDown sources,0.807,0.885297125,2,1.347570173,0.911101665
ZBP1, HepEven sources,1.452,1.157452375,3,1.337420039,0.909457216
BMP2, ESCDown sources,0.828,0.876593406,2,1.336993858,0.909387679
HMBOX1, HepDown sources,0.291,0.531336993,1,1.334369731,0.908958642
ATF6, ESCDown targets,2.864,1.60421445,5,1.331492807,0.908486545
GATA5, HepUp sources,1.448,1.165888502,3,1.331173604,0.908434053
NFIB, EndoDown targets,0.795,0.910480642,2,1.323476792,0.907161565
ZBTB22, HepEven sources,2.817,1.652123179,5,1.321330048,0.90680433
E2F3, HepUp targets,5.081,2.212789868,8,1.319149207,0.906440382
SOX11, ESCUp sources,0.81,0.904378239,2,1.315821133,0.905882958
FOXD3, EndoDown targets,0.818,0.899375339,2,1.314245509,0.905618201
PPARD, HepUp targets,4.302,2.052996834,7,1.314176406,0.905606577
SEMA4A, HepDown sources,0.297,0.535528711,1,1.312721402,0.905361578
MEIS2, HepDown sources,0.289,0.545416355,1,1.303591273,0.903813511
ZNF613,  sources,9.431,2.758847404,13,1.293656182,0.902107896
HMGA1, EndodUP sources,2.127,1.450127925,4,1.291610186,0.901753913
HOXB4, HepEven sources,2.194,1.413635031,4,1.277557475,0.899297249
LCORL, EndodUP sources,1.495,1.178123508,3,1.277455199,0.899279206
BACH2, ESCDown sources,1.451,1.216387685,3,1.273442685,0.898569501
MEIS2, HepEven sources,2.867,1.678484733,5,1.270789038,0.898098145
CREM, ESCUp sources,2.17,1.440520739,4,1.270373935,0.898024268
MAF, ESCDown sources,1.49,1.190756062,3,1.268101879,0.897619215
TGIF1, EndodUP targets,1.466,1.211133354,3,1.266582243,0.897347648
POU2F3, ESCDown sources,2.825,1.722316754,5,1.26283391,0.896675562
TFAP2A, HepDown sources,0.308,0.548758599,1,1.261028075,0.896350634
NCOR2, HepEven sources,2.165,1.457317742,4,1.259162602,0.896014197
JDP2, HepUp sources,2.904,1.665768291,5,1.258278244,0.895854427
ZNF791, HepEven sources,1.494,1.199985,3,1.255015688,0.895263467
HOXB4,  sources,7.909,2.467532979,11,1.252668162,0.894836751
MAX, ESCUp targets,10.085,3.12726318,14,1.251893357,0.894695637
ZNF423, HepEven sources,3.713,1.827192108,6,1.251647262,0.894650788
MEF2C, HepUp targets,2.185,1.450094824,4,1.251642285,0.89464988
RCOR2, HepEven sources,2.962,1.630507896,5,1.249917283,0.894335117
MAX,  targets,69.557,7.581737993,79,1.245492789,0.893524668
ATXN7, ESCUp sources,2.151,1.487346295,4,1.243153667,0.893094394
NKX2-5, EndodUP sources,1.506,1.207461801,3,1.237306223,0.892013291
ESCUp, ESCUp targets,35.944,5.703583435,43,1.237116995,0.891978174
ESCUp, ESCUp sources,35.944,5.703583435,43,1.237116995,0.891978174
YBX2, HepDown sources,0.307,0.561026737,1,1.235235246,0.891628517
ZC3H15, ESCUp sources,0.874,0.913303892,2,1.232886457,0.891190936
NFIB, ESCUp sources,0.882,0.911085067,2,1.227108247,0.890109046
NR2F2,  sources,16.442,3.72164426,21,1.224727481,0.889661042
SMAD1, HepUp sources,1.56,1.183384975,3,1.216848304,0.888169031
SMAD3, HepUp targets,6.926,2.530320928,10,1.214865658,0.887791333
NFYB, ESCUp targets,10.218,3.11872987,14,1.212673158,0.887372597
TEAD1, ESCDown sources,1.559,1.193532153,3,1.207340746,0.886349528
GATA3,  targets,18.45,3.772731106,23,1.206022871,0.886095664
MSX1, HepEven sources,1.574,1.192696105,3,1.195610511,0.884075706
ZBTB25, HepUp sources,3.007,1.672408742,5,1.191694321,0.883309437
FOXD3, HepUp sources,2.243,1.485244424,4,1.182970272,0.881589535
ZBTB1, HepUp sources,2.994,1.699401071,5,1.180415874,0.881082574
DMAP1, HepUp sources,1.541,1.242706321,3,1.174050518,0.879812604
CREM, HepUp targets,5.441,2.182777817,8,1.172359358,0.879473595
TSHZ1, HepEven sources,1.547,1.242493863,3,1.169422275,0.87888323
MEIS3, EndodUP sources,1.551,1.243944934,3,1.164842558,0.877958636
CDX2,  sources,6.317,2.303586551,9,1.164705532,0.877930896
FOSL2,  targets,27.447,4.777153022,33,1.162407814,0.877465075
PBX1, ESCUp sources,0.919,0.931900746,2,1.159994779,0.876974534
ZNF232, HepEven sources,2.318,1.452885405,4,1.15769626,0.876505995
TBX3,  sources,4.802,1.90336439,7,1.154797269,0.875913272
SNAI1, EndodUP sources,0.902,0.953098106,2,1.152032506,0.875346142
SOX15, HepEven sources,3.136,1.619105926,5,1.151252657,0.875185846
KLF10, HepUp sources,3.789,1.921582421,6,1.15061419,0.875054504
PRDM14, ESCDown sources,1.578,1.236897732,3,1.149650422,0.874856059
CARHSP1, HepUp sources,1.597,1.222534662,3,1.147615723,0.874436382
ZNF446, EndodUP sources,1.56,1.255547689,3,1.14690984,0.874290557
ZBTB16, HepDown sources,0.334,0.5817594,1,1.14480316,0.873854647
ZNF576,  sources,7.23,2.41973139,10,1.144755162,0.873844703
ZIC5, EndodUP sources,0.912,0.95197479,2,1.142887408,0.873457329
PSMD11, ESCDown sources,0.962,0.910250515,2,1.140345414,0.872928788
JUND,  targets,27.628,4.714405159,33,1.139486281,0.872749806
PRDM6, EndodUP sources,1.549,1.27655748,3,1.136650737,0.872157839
POU2F3, ESCDown targets,2.302,1.497596741,4,1.13381657,0.87156425
BCL6, ESCDown sources,2.359,1.455375896,4,1.127543753,0.870243674
KLF6, HepUp sources,1.603,1.240721967,3,1.125957335,0.869908211
ZHX1, HepUp sources,1.598,1.246754186,3,1.124519986,0.869603752
KLF7, HepDown sources,0.324,0.60251473,1,1.121964271,0.869061184
HLA-DQB1, ESCUp sources,0.366,0.565724314,1,1.120687204,0.868789484
SP5,  sources,4.008,1.777620882,6,1.120598897,0.868770683
TSC22D3, HepUp sources,3.103,1.693041937,5,1.120468406,0.868742896
CREB3L2, HepEven sources,2.291,1.526538241,4,1.119526491,0.868542202
ZNF512, HepEven sources,2.343,1.480321249,4,1.119351628,0.868504921
ZFR2, EndodUP sources,0.941,0.951587621,2,1.112877025,0.867119376
HMGA1, HepEven sources,3.875,1.91033374,6,1.112371077,0.867010682
CBFB, HepUp targets,3.03,1.773442979,5,1.110833572,0.866680004
ZNF512, ESCDown sources,1.627,1.236070791,3,1.110777805,0.866667999
TFAP2A, EndoDown targets,8.021,2.683385734,11,1.110164656,0.86653596
FOXA1, EndoDown targets,0.919,0.974904611,2,1.108826431,0.866247467
HAND1, HepEven targets,4.63,2.144551235,7,1.105126313,0.86544757
ZNF446, HepUp sources,2.341,1.506226743,4,1.101427795,0.864644743
ZNF521, ESCDown sources,0.364,0.577498052,1,1.101302416,0.86461747
EDF1, ESCUp sources,0.358,0.586375306,1,1.09486193,0.863211435
LENG9, ESCUp sources,0.936,0.972575961,2,1.094001952,0.863022939
GLI2, HepEven sources,0.956,0.955020419,2,1.093170344,0.862840492
ZNF563, ESCUp sources,0.368,0.578425449,1,1.092621359,0.86271996
USF1, HepUp targets,11.486,3.237252539,15,1.085488376,0.861147295
ESCUp, EndodUP sources,43.985,6.470917632,51,1.084081177,0.860835596
EndodUP, ESCUp targets,43.985,6.470917632,51,1.084081177,0.860835596
SOX15, ESCDown targets,0.971,0.950872757,2,1.08216372,0.860410107
ATXN7, HepEven sources,4.813,2.028307422,7,1.078238918,0.859536426
NANOG, HepDown targets,0.971,0.960291102,2,1.071550073,0.858038916
SOX4, ESCDown targets,0.976,0.956777926,2,1.070258805,0.857748584
SOX2, ESCDown targets,0.989,0.947036958,2,1.067540175,0.857136009
RCOR2, EndodUP sources,1.646,1.270702168,3,1.065552601,0.856687032
OVOL1, EndodUP sources,0.967,0.971550822,2,1.063248547,0.856165374
FOXK2,  sources,5.755,2.115886339,8,1.061021076,0.855659838
YBX2, EndodUP sources,1.642,1.280560815,3,1.060472868,0.855535237
SNAI2, ESCDown sources,0.967,0.979750478,2,1.054350085,0.854138667
ARID5B, HepDown targets,4.75,2.139976635,7,1.051413349,0.853465606
HNF4A, ESCDown targets,9.837,3.012047642,13,1.050116192,0.853167652
ZNF263, HepUp sources,1.669,1.271785752,3,1.046559924,0.852348703
SOX11, EndodUP sources,0.991,0.964841438,2,1.045767688,0.852165849
GATA3, HepUp sources,1.685,1.264822122,3,1.039671885,0.850753817
POLR2L,  sources,6.636,2.274094105,9,1.039534817,0.850721963
MYCL1, ESCDown sources,0.975,0.986090767,2,1.039458065,0.850704124
RUNX1, HepUp targets,3.169,1.761941827,5,1.039194355,0.850642822
GRHL2,  sources,8.444,2.47888362,11,1.031109319,0.848755221
PRDM1,  sources,15.42,3.477585369,19,1.029449926,0.848365851
ZMAT3, ESCUp sources,1.003,0.971077237,2,1.026694852,0.847717913
FOXC1, ESCUp sources,0.377,0.607347512,1,1.025771882,0.847500439
RAPGEF4, HepDown sources,0.363,0.622278876,1,1.023656795,0.847001295
LARP6, HepUp sources,1.001,0.976216677,2,1.023338388,0.84692606
ZNF428, HepEven sources,1.024,0.958865997,2,1.017869028,0.845629899
PLXNA3, HepUp sources,1.71,1.268029968,3,1.017326114,0.845500841
POU2F3, HepUp sources,3.214,1.756190195,5,1.016974133,0.845417132
EWSR1, HepEven sources,1.726,1.258937647,3,1.011964336,0.844222447
FOXA1, HepUp targets,5.583,2.393138316,8,1.009970875,0.843745378
MAF, ESCUp sources,0.987,1.003409687,2,1.009557724,0.843646384
PSMD11,  sources,4.957,2.033507069,7,1.004668256,0.842471691
HMGB2, EndodUP sources,1.741,1.253761939,3,1.004177875,0.842353558
ZBTB16, EndodUP sources,1.732,1.268138794,3,0.999890553,0.841318262
HOXB2, ESCDown sources,1.002,0.999998,2,0.998001996,0.840860805
CDX2, HepEven targets,1.727,1.277681885,3,0.996335641,0.840456454
GATA5, EndodUP sources,1.033,0.975659264,2,0.991124704,0.839187654
RUNX1, EndodUP sources,3.297,1.721856847,5,0.98904854,0.838680303
FOXD3,  sources,10.172,2.867126785,13,0.986353312,0.838020116
ATF1, ESCDown targets,4.015,2.019102523,6,0.983110059,0.837223363
POU2F3, HepEven targets,2.508,1.522476929,4,0.979982009,0.8364525
ZBTB5, ESCDown sources,1.778,1.254079742,3,0.974419695,0.835075903
RBPJ, HepDown targets,1,1.027618606,2,0.97312368,0.834754082
SLC2A4RG, ESCUp sources,1.037,0.989763103,2,0.972960092,0.834713432
KNTC1, HepUp sources,1.015,1.013299067,2,0.972072344,0.83449272
CEBPB, HepUp targets,4.893,2.177510276,7,0.967618855,0.833382621
MAX, ESCDown targets,12.665,3.460458785,16,0.963745043,0.832413117
